#[Manufacturer],[Hostname],[Delta t],[Date],[Mode],[File Version],"Rules:
Choose closest ms value to stapwatch time
If tie choose bigger value
if more than 10ms away dont fill in the value",
Thorlabs,PM5020_5E,10 ms,2026-07-30 22:56:56,CW,1,,
,,,,,,,
#[Ch],[Name],[Serial],[Type],[Wavelength],[Range],[Attenuation],[Unit]
0,S425C-L,1932731,Thermopile,1064 nm,auto,0 dB,W
1,S120VC,230131112,Photodiode,1064 nm,auto,0 dB,W
,,,,,,,
#[ms],[Ch: 1],[Ch: 2],#[meter],,,,
9362230,1.09E+00,4.49E-04,0.253,,,,
9365340,1.09E+00,4.49E-04,0.252,,,,
9371890,1.09E+00,4.47E-04,0.251,,,,
9375070,1.09E+00,4.47E-04,0.25,,,,
9383950,1.09E+00,4.46E-04,0.249,,,,
9388160,1.09E+00,4.46E-04,0.248,,,,
9393120,1.09E+00,4.45E-04,0.247,,,,
9396800,1.09E+00,4.45E-04,0.246,,,,
9401750,1.09E+00,4.44E-04,0.245,,,,
9404910,1.09E+00,4.44E-04,0.244,,,,
9412360,1.09E+00,4.42E-04,0.243,,,,
9415760,1.09E+00,4.42E-04,0.242,,,,
9422380,1.09E+00,4.42E-04,0.241,,,,
9427620,1.08E+00,4.42E-04,0.24,,,,
9435620,1.09E+00,4.41E-04,0.239,,,,
9438470,1.09E+00,4.41E-04,0.238,,,,
9443850,1.09E+00,4.41E-04,0.237,,,,
9448450,1.09E+00,4.41E-04,0.236,,,,
9452549,1.09E+00,4.40E-04,0.235,,,,
9458399,1.09E+00,4.40E-04,0.234,,,,
