#[Manufacturer]; [Hostname]; [Delta t]; [Date]; [Mode]; [File Version]
Thorlabs; PM5020_5E; 10 ms; 2026-07-15T05:11:36; CW; 1

#[Ch];[Name];[Serial];[Type];[Wavelength];[Range];[Attenuation];[Unit]
0; S425C-L; 1932731; Thermopile;1064 nm; manual; 0 dB; W
1; S120VC; 230131112; Photodiode;1064 nm; auto; 0 dB; W

#[ms]; [Ch: 1]; [Ch: 2]
      2730; 1.074206E+00 ; 6.730951E-05 
      2740; 1.076223E+00 ; 6.605524E-05 
      2750; 1.076113E+00 ; 6.498252E-05 
      2760; 1.075879E+00 ; 6.587694E-05 
      2780; 1.077091E+00 ; 6.710071E-05 
      2790; 1.077059E+00 ; 6.597252E-05 
      2800; 1.076442E+00 ; 6.479002E-05 
      2810; 1.077494E+00 ; 6.577811E-05 
      2820; 1.077175E+00 ; 6.701553E-05 
      2830; 1.075972E+00 ; 6.703661E-05 
      2840; 1.077411E+00 ; 6.582063E-05 
      2850; 1.076591E+00 ; 6.469335E-05 
      2860; 1.075714E+00 ; 6.584128E-05 
      2870; 1.077477E+00 ; 6.697931E-05 
      2880; 1.076988E+00 ; 6.691706E-05 
      2890; 1.076557E+00 ; 6.586422E-05 
      2910; 1.077410E+00 ; 6.578447E-05 
      2920; 1.077060E+00 ; 6.693000E-05 
      2930; 1.078252E+00 ; 6.692683E-05 
      2940; 1.078294E+00 ; 6.577512E-05 
      2950; 1.077623E+00 ; 6.471319E-05 
      2960; 1.078922E+00 ; 6.569912E-05 
      2970; 1.077927E+00 ; 6.690229E-05 
      2990; 1.079333E+00 ; 6.579444E-05 
      3000; 1.077755E+00 ; 6.459461E-05 
      3010; 1.078038E+00 ; 6.586318E-05 
      3020; 1.079530E+00 ; 6.692195E-05 
      3030; 1.078314E+00 ; 6.688789E-05 
      3040; 1.076978E+00 ; 6.575181E-05 
      3050; 1.078492E+00 ; 6.461675E-05 
      3060; 1.078427E+00 ; 6.593568E-05 
      3070; 1.077475E+00 ; 6.689590E-05 
      3080; 1.078048E+00 ; 6.681030E-05 
      3090; 1.077983E+00 ; 6.580151E-05 
      3100; 1.077610E+00 ; 6.446314E-05 
      3110; 1.078403E+00 ; 6.587647E-05 
      3120; 1.077844E+00 ; 6.693470E-05 
      3130; 1.076122E+00 ; 6.685001E-05 
      3140; 1.078107E+00 ; 6.570508E-05 
      3150; 1.077339E+00 ; 6.451966E-05 
      3160; 1.076800E+00 ; 6.590869E-05 
      3170; 1.078047E+00 ; 6.695421E-05 
      3180; 1.076392E+00 ; 6.667801E-05 
      3190; 1.075231E+00 ; 6.569856E-05 
      3200; 1.076110E+00 ; 6.462154E-05 
